depth proxy
8.001999999999999602e+01 -9.892148712639098340e-01
8.004000000000000625e+01 -5.142169238930295316e-01
8.006000000000000227e+01 -2.110789663718801445e-01
8.007999999999999829e+01 -1.228494042194128166e-02
8.009999999999999432e+01 -3.106555865589646914e-01
8.012000000000000455e+01 4.313339969652541517e-01
8.014000000000000057e+01 -5.023033077310502525e-01
8.015999999999999659e+01 -4.937855781220517604e-01
8.018000000000000682e+01 -4.027656274573432338e-02
8.020000000000000284e+01 6.096418608966170938e-01
8.021999999999999886e+01 -6.891997951704372793e-01
8.023999999999999488e+01 -3.277610356882266207e-01
8.026000000000000512e+01 -3.315237811000902868e-01
8.028000000000000114e+01 -7.035569499965688145e-01
8.029999999999999716e+01 -4.065682962389051136e-01
8.031999999999999318e+01 -3.888516321729650893e-01
8.034000000000000341e+01 -6.135800212821703736e-01
8.035999999999999943e+01 -8.137581279598510298e-01
8.037999999999999545e+01 -9.494901042506590505e-01
8.040000000000000568e+01 -2.688925206788463362e-01
8.042000000000000171e+01 -2.450431416371384452e-01
8.043999999999999773e+01 -4.452253853139643835e-01
8.045999999999999375e+01 4.624685432955337183e-01
8.048000000000000398e+01 6.827251202084095860e-01
8.050000000000000000e+01 1.390937628859292063e+00
8.051999999999999602e+01 7.334832178628664101e-01
8.054000000000000625e+01 1.027390432027094791e+00
8.056000000000000227e+01 1.155575298577814936e+00
8.057999999999999829e+01 5.687025634664484297e-01
8.059999999999999432e+01 -4.938526452677065026e-01
8.062000000000000455e+01 -5.866327869378741289e-01
8.064000000000000057e+01 -1.198060184433434872e+00
8.065999999999999659e+01 -1.201844144633033018e+00
8.068000000000000682e+01 -1.039908002284849253e+00
8.070000000000000284e+01 -8.994553973782288825e-01
8.071999999999999886e+01 -5.012153477289853498e-01
8.073999999999999488e+01 9.650280944083192147e-02
8.076000000000000512e+01 -7.236175547605409042e-01
8.078000000000000114e+01 5.516403709557008567e-02
8.079999999999999716e+01 5.454667005841831173e-01
8.081999999999999318e+01 1.198420488397147876e+00
8.084000000000000341e+01 2.127575134429889658e+00
8.085999999999999943e+01 1.203105707560949922e+00
8.087999999999999545e+01 1.306720558448555058e+00
8.090000000000000568e+01 1.904428992212010785e+00
8.092000000000000171e+01 9.155086709718603943e-01
8.093999999999999773e+01 6.109544605627537095e-01
8.095999999999999375e+01 1.257761697060359785e+00
8.098000000000000398e+01 9.654805871635789849e-01
8.100000000000000000e+01 -2.106484597290369520e-01
8.101999999999999602e+01 3.348808306097036946e-01
8.104000000000000625e+01 -3.747761792181940055e-01
8.106000000000000227e+01 -8.396918191451378799e-02
8.107999999999999829e+01 1.511124103430371513e+00
8.109999999999999432e+01 1.815429470291792247e-01
8.112000000000000455e+01 -7.085142070906752521e-02
8.114000000000000057e+01 5.207036831575744262e-01
8.115999999999999659e+01 8.820890560517242740e-01
8.118000000000000682e+01 9.570000712696385969e-02
8.120000000000000284e+01 1.297964585920849290e+00
8.121999999999999886e+01 2.055235578456112489e+00
8.123999999999999488e+01 1.698490165971541677e+00
8.126000000000000512e+01 2.133522690647894571e+00
8.129999999999999716e+01 1.852741659306430977e+00
8.131999999999999318e+01 2.699004300225613662e+00
8.134000000000000341e+01 3.904240448998076984e-01
8.135999999999999943e+01 -2.486694592227665090e-01
8.137999999999999545e+01 -3.783249469958392397e-01
8.140000000000000568e+01 -1.465482352447208925e+00
8.142000000000000171e+01 -1.628898627632505480e+00
8.143999999999999773e+01 -1.703317837082684694e+00
8.145999999999999375e+01 -1.240678833592610220e+00
8.148000000000000398e+01 -7.841790435534016224e-01
8.150000000000000000e+01 -9.445319575971171666e-01
8.151999999999999602e+01 -4.604147522020553551e-01
8.154000000000000625e+01 -8.846968999348926443e-01
8.156000000000000227e+01 2.101309787057985823e-01
8.157999999999999829e+01 -2.356363769514405460e-01
8.159999999999999432e+01 2.046857606907598548e+00
8.162000000000000455e+01 1.693154764359334097e+00
8.164000000000000057e+01 1.465275882032258004e+00
8.165999999999999659e+01 1.295704891332728925e+00
8.168000000000000682e+01 2.852505745723152297e-01
8.170000000000000284e+01 2.169507945884292244e-01
8.171999999999999886e+01 2.775438699992572866e-01
8.173999999999999488e+01 7.370940523410397516e-01
8.176000000000000512e+01 4.631728134030124178e-01
8.178000000000000114e+01 3.426957152972919252e-01
8.179999999999999716e+01 3.603181949815679741e-01
8.181999999999999318e+01 1.262884266629160646e-01
8.184000000000000341e+01 9.510318276969282891e-01
8.185999999999999943e+01 4.009011865385059825e-01
8.187999999999999545e+01 1.511050459885035613e+00
8.190000000000000568e+01 9.578479593301781891e-01
8.192000000000000171e+01 1.147320684074448538e+00
8.193999999999999773e+01 9.593157560485938706e-01
8.195999999999999375e+01 2.216766896953399790e+00
8.198000000000000398e+01 1.322909252773043498e+00
8.200000000000000000e+01 9.783853754746466569e-01
8.201999999999999602e+01 2.901418760073353753e-01
8.204000000000000625e+01 -3.290257502740647627e-02
8.206000000000000227e+01 -7.641137985254695675e-01
8.207999999999999829e+01 4.626393513931089663e-01
8.209999999999999432e+01 9.048787782641097566e-02
8.212000000000000455e+01 5.561479023989908121e-01
8.214000000000000057e+01 1.239699203810439965e+00
8.215999999999999659e+01 1.183641241993067972e+00
8.218000000000000682e+01 1.554160575058521232e+00
8.220000000000000284e+01 1.114485672607157030e+00
8.221999999999999886e+01 1.911580835077806295e+00
8.223999999999999488e+01 1.220252217348009260e+00
8.226000000000000512e+01 1.087464120781859389e+00
8.228000000000000114e+01 1.319875093762927776e+00
8.229999999999999716e+01 4.628208568041006776e-01
8.231999999999999318e+01 6.982978401748408670e-01
