depth,age
1.039300000000000068e+02,5.236279106060609934e+01
1.039350000000000023e+02,5.236354709090910120e+01
1.039599999999999937e+02,5.236732724242420289e+01
1.039849999999999994e+02,5.237110739393939696e+01
1.040100000000000051e+02,5.237488754545449865e+01
1.040349999999999966e+02,5.237866769696969982e+01
1.040600000000000023e+02,5.238244784848490099e+01
1.040849999999999937e+02,5.238622800000000268e+01
1.041099999999999994e+02,5.239000815151519674e+01
1.041350000000000051e+02,5.239378830303029844e+01
1.041599999999999966e+02,5.239756845454549961e+01
1.041850000000000023e+02,5.240134860606060130e+01
1.042099999999999937e+02,5.240512875757580247e+01
1.042349999999999994e+02,5.240890890909089705e+01
1.042600000000000051e+02,5.241268906060609822e+01
1.042849999999999966e+02,5.241646921212119992e+01
1.043100000000000023e+02,5.242024936363640109e+01
1.043349999999999937e+02,5.242402951515150278e+01
1.043599999999999994e+02,5.242780966666669684e+01
1.043850000000000051e+02,5.243158981818179853e+01
1.044099999999999966e+02,5.243536996969699970e+01
1.044350000000000023e+02,5.243915012121210140e+01
1.044599999999999937e+02,5.244293027272730257e+01
1.044849999999999994e+02,5.244671042424239715e+01
1.045100000000000051e+02,5.245049057575759832e+01
1.045349999999999966e+02,5.245427072727270001e+01
1.045600000000000023e+02,5.245805087878790118e+01
1.045849999999999937e+02,5.246180797656249695e+01
1.046350000000000051e+02,5.246913774218749893e+01
1.046599999999999966e+02,5.247280262499999992e+01
1.046850000000000023e+02,5.247646750781250091e+01
1.047099999999999937e+02,5.248013239062500190e+01
1.047349999999999994e+02,5.248379727343750289e+01
1.047600000000000051e+02,5.248746215624999678e+01
1.047849999999999966e+02,5.249112703906249777e+01
1.048100000000000023e+02,5.249479192187499876e+01
1.048349999999999937e+02,5.249845680468749975e+01
1.048599999999999994e+02,5.250212168750000075e+01
1.048850000000000051e+02,5.250578657031250174e+01
1.049099999999999966e+02,5.250945145312500273e+01
1.049350000000000023e+02,5.251311633593749661e+01
1.049599999999999937e+02,5.251678121874999761e+01
1.049849999999999994e+02,5.252044610156249860e+01
1.050100000000000051e+02,5.252411098437499959e+01
1.050349999999999966e+02,5.252777586718750058e+01
1.050600000000000023e+02,5.253144075000000157e+01
1.050849999999999937e+02,5.253510563281250256e+01
1.051099999999999994e+02,5.253877051562499645e+01
1.051350000000000051e+02,5.254243539843749744e+01
1.051599999999999966e+02,5.254610028124999843e+01
1.051850000000000023e+02,5.254976516406249942e+01
1.052099999999999937e+02,5.255343004687500041e+01
1.052349999999999994e+02,5.255709492968750141e+01
1.052600000000000051e+02,5.256075981250000240e+01
1.052849999999999966e+02,5.256442469531250339e+01
1.053100000000000023e+02,5.256808957812499727e+01
1.053349999999999937e+02,5.257175446093749827e+01
1.053599999999999994e+02,5.257541934374999926e+01
1.053850000000000051e+02,5.257908422656250025e+01
1.054099999999999966e+02,5.258274910937500124e+01
1.054350000000000023e+02,5.258641399218750223e+01
1.054599999999999937e+02,5.259007887500000322e+01
1.054849999999999994e+02,5.259374375781249711e+01
1.055100000000000051e+02,5.259740864062499810e+01
1.055349999999999966e+02,5.260107352343749909e+01
1.055600000000000023e+02,5.260473840625000008e+01
1.055849999999999937e+02,5.260840328906250107e+01
1.056099999999999994e+02,5.261206817187500207e+01
1.056350000000000051e+02,5.261573305468750306e+01
1.056599999999999966e+02,5.261939793749999694e+01
1.056850000000000023e+02,5.262306282031249793e+01
1.057099999999999937e+02,5.262672770312499892e+01
1.057349999999999994e+02,5.263039258593749992e+01
1.057600000000000051e+02,5.263405746875000091e+01
1.057849999999999966e+02,5.263772235156250190e+01
1.058100000000000023e+02,5.264138723437500289e+01
1.058349999999999937e+02,5.264505211718749678e+01
1.058599999999999994e+02,5.264871699999999777e+01
1.058850000000000051e+02,5.265238188281249876e+01
1.059099999999999966e+02,5.265604676562499975e+01
1.059350000000000023e+02,5.265971164843750074e+01
1.059599999999999937e+02,5.266337653125000173e+01
1.059849999999999994e+02,5.266704141406250272e+01
1.060100000000000051e+02,5.267070629687499661e+01
1.060349999999999966e+02,5.267437117968749760e+01
1.060600000000000023e+02,5.267803606249999859e+01
1.060849999999999937e+02,5.268170094531249958e+01
1.061350000000000051e+02,5.268903071093750157e+01
1.061599999999999966e+02,5.269269559375000256e+01
1.061850000000000023e+02,5.269636047656250355e+01
1.062099999999999937e+02,5.270002535937499744e+01
1.062349999999999994e+02,5.270369024218749843e+01
1.062600000000000051e+02,5.270735512499999942e+01
1.062849999999999966e+02,5.271102000781250041e+01
1.063100000000000023e+02,5.271468489062500140e+01
1.063349999999999937e+02,5.271834977343750239e+01
1.063599999999999994e+02,5.272201465625000338e+01
1.063850000000000051e+02,5.272567953906249727e+01
1.064099999999999966e+02,5.272934442187499826e+01
1.064350000000000023e+02,5.273300930468749925e+01
1.064599999999999937e+02,5.273667418750000024e+01
1.064849999999999994e+02,5.274033907031250124e+01
1.065100000000000051e+02,5.274397538571430033e+01
1.065349999999999966e+02,5.274756885000000040e+01
1.065600000000000023e+02,5.275116231428570046e+01
1.065849999999999937e+02,5.275475577857140053e+01
1.066099999999999994e+02,5.275834924285710059e+01
1.066350000000000051e+02,5.276194270714290013e+01
1.066599999999999966e+02,5.276553617142860020e+01
1.066850000000000023e+02,5.276912963571430026e+01
1.067099999999999937e+02,5.277272310000000033e+01
1.067349999999999994e+02,5.277631656428570039e+01
1.067600000000000051e+02,5.277991002857140046e+01
1.067849999999999966e+02,5.278350349285720000e+01
1.068100000000000023e+02,5.278709695714290007e+01
1.068349999999999937e+02,5.279069042142860013e+01
1.068599999999999994e+02,5.279428388571430020e+01
1.068850000000000051e+02,5.279787735000000026e+01
1.069099999999999966e+02,5.280147081428570033e+01
1.069350000000000023e+02,5.280506427857140039e+01
1.069599999999999937e+02,5.280865774285710046e+01
1.069849999999999994e+02,5.281225120714290000e+01
1.070100000000000051e+02,5.281584467142860007e+01
1.070349999999999966e+02,5.281943813571430013e+01
1.070600000000000023e+02,5.282303160000000020e+01
1.070849999999999937e+02,5.282662506428570026e+01
1.071099999999999994e+02,5.283021852857140033e+01
1.071350000000000051e+02,5.283381199285710039e+01
1.071599999999999966e+02,5.283740545714289993e+01
1.071850000000000023e+02,5.284099892142860000e+01
1.072099999999999937e+02,5.284528715517240016e+01
1.072399999999999949e+02,5.285168362068969827e+01
1.072650000000000006e+02,5.285701400862070187e+01
1.072900000000000063e+02,5.286234439655169837e+01
1.073149999999999977e+02,5.286767478448280144e+01
1.073400000000000034e+02,5.287300517241379794e+01
1.073649999999999949e+02,5.287833556034480154e+01
1.073900000000000006e+02,5.288366594827589751e+01
1.074150000000000063e+02,5.288899633620690111e+01
1.074399999999999977e+02,5.289432672413789760e+01
1.074650000000000034e+02,5.289965711206900068e+01
1.074899999999999949e+02,5.290498749999999717e+01
1.075150000000000006e+02,5.291031788793100077e+01
1.075400000000000063e+02,5.291564827586209674e+01
1.075649999999999977e+02,5.292097866379310034e+01
1.075900000000000034e+02,5.292630905172409683e+01
1.076149999999999949e+02,5.293163943965519991e+01
1.076400000000000006e+02,5.293696982758620351e+01
1.076650000000000063e+02,5.294230021551720000e+01
1.076899999999999977e+02,5.294763060344830308e+01
1.077150000000000034e+02,5.295296099137929957e+01
1.077399999999999949e+02,5.295829137931030317e+01
1.077650000000000006e+02,5.296362176724139914e+01
1.077900000000000063e+02,5.296814481034480337e+01
1.078149999999999977e+02,5.297145683620689738e+01
1.078400000000000034e+02,5.297476886206899849e+01
1.078649999999999949e+02,5.297808088793100012e+01
1.078900000000000006e+02,5.298139291379310123e+01
1.079150000000000063e+02,5.298470493965520234e+01
1.079399999999999977e+02,5.298801696551719687e+01
1.079650000000000034e+02,5.299132899137929797e+01
1.079899999999999949e+02,5.299464101724139908e+01
1.080150000000000006e+02,5.299795304310340072e+01
1.080649999999999977e+02,5.300457709482760293e+01
1.080900000000000034e+02,5.300788912068969694e+01
1.081149999999999949e+02,5.301120114655169857e+01
1.081400000000000006e+02,5.301451317241379968e+01
1.081650000000000063e+02,5.301782519827590079e+01
1.081899999999999977e+02,5.302113722413790242e+01
1.082150000000000034e+02,5.302444925000000353e+01
1.082399999999999949e+02,5.302776127586209753e+01
1.082650000000000006e+02,5.303107330172409917e+01
1.082900000000000063e+02,5.303438532758620028e+01
1.083149999999999977e+02,5.303769735344830139e+01
1.083400000000000034e+02,5.304100937931030302e+01
1.083649999999999949e+02,5.304412088970590133e+01
1.083900000000000006e+02,5.304643033823529663e+01
1.084150000000000063e+02,5.304873978676469903e+01
1.084399999999999977e+02,5.305104923529410144e+01
1.084650000000000034e+02,5.305335868382349673e+01
1.084899999999999949e+02,5.305566813235289914e+01
1.085150000000000006e+02,5.305797758088240101e+01
1.085400000000000063e+02,5.306028702941180342e+01
1.085649999999999977e+02,5.306259647794119871e+01
1.085900000000000034e+02,5.306490592647060112e+01
1.086149999999999949e+02,5.306721537500000352e+01
1.086400000000000006e+02,5.306952482352939882e+01
1.086650000000000063e+02,5.307183427205880122e+01
1.086899999999999977e+02,5.307414372058819652e+01
1.087150000000000034e+02,5.307645316911769839e+01
