depth,age
0.000000000000000000e+00,1.500000000000000000e+00
1.000000000000000021e-03,1.501399991117421839e+00
2.000000000000000042e-03,1.502799946705319689e+00
3.000000000000000062e-03,1.504199831237325924e+00
4.000000000000000083e-03,1.505599609193384092e+00
5.000000000000000104e-03,1.506999245062904613e+00
6.000000000000000125e-03,1.508398703347918923e+00
7.000000000000000146e-03,1.509797948566232062e+00
8.000000000000000167e-03,1.511196945254575708e+00
9.000000000000001055e-03,1.512595657971756768e+00
1.000000000000000021e-02,1.513994051301806198e+00
1.099999999999999936e-02,1.515392089857125146e+00
1.200000000000000025e-02,1.516789738281627553e+00
1.300000000000000114e-02,1.518186961253880751e+00
1.400000000000000029e-02,1.519583723490244065e+00
1.499999999999999944e-02,1.520979989748001415e+00
1.600000000000000033e-02,1.522375724828492149e+00
1.700000000000000122e-02,1.523770893580238761e+00
1.800000000000000211e-02,1.525165460902067505e+00
1.899999999999999953e-02,1.526559391746227456e+00
2.000000000000000042e-02,1.527952651121503580e+00
2.100000000000000130e-02,1.529345204096323796e+00
2.199999999999999872e-02,1.530737015801863610e+00
2.299999999999999961e-02,1.532128051435141414e+00
2.400000000000000050e-02,1.533518276262111568e+00
2.500000000000000139e-02,1.534907655620748379e+00
2.600000000000000228e-02,1.536296154924125856e+00
2.699999999999999969e-02,1.537683739663489701e+00
2.800000000000000058e-02,1.539070375411322189e+00
2.900000000000000147e-02,1.540456027824400387e+00
2.999999999999999889e-02,1.541840662646847493e+00
3.099999999999999978e-02,1.543224245713174403e+00
3.200000000000000067e-02,1.544606742951315281e+00
3.300000000000000155e-02,1.545988120385653808e+00
3.400000000000000244e-02,1.547368344140040985e+00
3.500000000000000333e-02,1.548747380440804511e+00
3.600000000000000422e-02,1.550125195619748597e+00
3.699999999999999817e-02,1.551501756117144470e+00
3.799999999999999906e-02,1.552877028484711319e+00
3.899999999999999994e-02,1.554250979388587917e+00
4.000000000000000083e-02,1.555623575612292253e+00
4.100000000000000172e-02,1.556994784059673620e+00
4.200000000000000261e-02,1.558364571757851591e+00
4.300000000000000350e-02,1.559732905860144347e+00
4.399999999999999745e-02,1.561099753648987232e+00
4.499999999999999833e-02,1.562465082538838423e+00
4.599999999999999922e-02,1.563828860079073735e+00
4.700000000000000011e-02,1.565191053956868528e+00
4.800000000000000100e-02,1.566551632000068528e+00
4.900000000000000189e-02,1.567910562180046652e+00
5.000000000000000278e-02,1.569267812614549396e+00
5.100000000000000366e-02,1.570623351570527015e+00
5.200000000000000455e-02,1.571977147466954161e+00
5.299999999999999850e-02,1.573329168877633411e+00
5.399999999999999939e-02,1.574679384533987703e+00
5.500000000000000028e-02,1.576027763327837228e+00
5.600000000000000117e-02,1.577374274314163438e+00
5.700000000000000205e-02,1.578718886713856850e+00
5.800000000000000294e-02,1.580061569916451525e+00
5.900000000000000383e-02,1.581402293482844001e+00
5.999999999999999778e-02,1.582741027147997137e+00
6.099999999999999867e-02,1.584077740823627956e+00
6.199999999999999956e-02,1.585412404600881064e+00
6.300000000000000044e-02,1.586744988752984753e+00
6.400000000000000133e-02,1.588075463737891324e+00
6.500000000000000222e-02,1.589403800200902106e+00
6.600000000000000311e-02,1.590729968977273590e+00
6.700000000000000400e-02,1.592053941094809577e+00
6.800000000000000488e-02,1.593375687776433125e+00
6.900000000000000577e-02,1.594695180442743387e+00
7.000000000000000666e-02,1.596012390714554696e+00
7.100000000000000755e-02,1.597327290415416545e+00
7.200000000000000844e-02,1.598639851574116699e+00
7.299999999999999545e-02,1.599950046427165651e+00
7.399999999999999634e-02,1.601257847421263092e+00
7.499999999999999722e-02,1.602563227215744845e+00
7.599999999999999811e-02,1.603866158685012255e+00
7.699999999999999900e-02,1.605166614920940038e+00
